Priorita;Nome Studio;Citta;Email contatto;Partner/Fondatori;Progetto aggancio;Motivo scelta;Angolo messaggio;Stato;Data invio 1;Oggetto usato;Data follow-up 1;Data follow-up 2;Risposta;Note
1;Cohesion Studio;Torino;studio@cohesionstudio.it;Giuseppe Pasquero, Andrea Levra Levron, Valeria Maruccia;AVZ Residence, 2023;"Studio con team, attenzione a dettaglio/cantiere e doppia sede Torino-Milano";"Arch Time Pro come strumento leggero per tenere allineati ore, fasi e margini su progetti residenziali curati";Inviato 1;2026-05-12;Su AVZ Residence e un progetto nato in studio;;;In attesa;
2;MGA4studio Bellora Morisano Architetti;Torino;info@mga4studio.com;Mauro Bellora, Giuliana Morisano;Adeguamento liturgico chiesa di Santa Maria della Motta, 2024;"Progetti complessi di restauro e architettura, buon fit per commesse articolate";"Controllo costi e ore sulle fasi di restauro/direzione lavori";Inviato 1;2026-05-12;Su Santa Maria della Motta e un progetto nato in studio;;;In attesa;
3;UNICA Architects;Bologna;info@unicaarchitects.com;Riccardo Robustini, Lorenzo Capucci;Villa Orizzonte / Bulgari Mansion 5 / Casa SC28;"Studio multidisciplinare e visibile, con progetti su scale diverse";"Ridurre complessita gestionale senza introdurre un gestionale pesante";Inviato 1;2026-05-12;Su Villa Orizzonte e un progetto nato in studio;;;In attesa;
4;Desearq Studio;Milano;info@desearq.com;Nicola Maglione, Helena La Camera;Appartamento FB4, 03 Apr 2026;"Studio attivo con progetto molto recente e chiaro target residenziale";"Capire margini reali delle ristrutturazioni e confrontare ore previste/consumate";Inviato 1;2026-05-14;Su Appartamento FB4 e un progetto nato in studio;;;In attesa;
5;dxp architetti;Milano;info@dxparchitetti.it;Danielle Cohen, Iris Capra, Chiara Confalonieri;Apt. TG / La Ciclistica Milano;"Team compatto, residenziale e retail, ottimo fit beta";"Tracciare lavoro di studio e cantiere senza cambiare abitudini operative";Inviato 1;2026-05-14;Su La Ciclistica Milano e un progetto nato in studio;;;In attesa;
6;ZSM studio;Bologna;info@zsmstudio.com;Stefano Zoffoli, Marco Sita;Villa 100 / Flat ST / Flat T;"Studio tecnico con progettazione, direzione lavori e computi: fit alto";"Controllo leggero di ore, costi e report per commesse residenziali e tecniche";Inviato 1;2026-05-14;Su Villa 100 e un progetto nato in studio;;;In attesa;
7;follow the architect;Torino;studio@followthearchitect.com;Sandra Giannini, Santiago Gomes, Paolo Maccario;PARALLELI 02, 2024;"Studio con molti progetti e team strutturato";"Arch Time Pro come dashboard leggera per progetti pubblici/privati e rigenerazione";Inviato 1;2026-05-15;Su PARALLELI 02 e un progetto nato in studio;;;In attesa;
8;Studio didea;Palermo;info@studiodidea.it;Nicola Giuseppe Ando, Emanuela Di Gaetano, Alfonso Riccio, Giuseppe De Lisi;Super F#, nuovo spazio creativo a Malta;"Studio con molti progetti retail/hospitality e team ampio";"Controllo delle commesse retail e hospitality, dove tempi e marginalita sono sensibili";Inviato 1;2026-05-15;Su Super F# e un progetto nato in studio;;;In attesa;
9;Go-Up Architects;Genova;info@go-up.it;Paolo Andrea Raffetto, Nicola Valentino Canessa;Restauro e trasformazione edifici esistenti;"Studio tecnico con partner e lavori su restauro/interior";"Monitorare fasi, ore e report PDF per progetti su edifici esistenti";Inviato 1;2026-05-15;Su restauro e un progetto nato in studio;;;In attesa;
10;Studio Da Gai Architetti;Roma;info@enricodagai.it;Enrico Da Gai, Elena Parducci, Emanuele Barco, Emanuele Pozzilli, Tommaso Ferracuti, Stefano Cestra;Manutenzione straordinaria sede zonale Villa Borghese, 2025;"Studio consolidato, restauro e commesse tecniche complesse";"Arch Time Pro come controllo sintetico delle commesse senza sostituire strumenti specialistici";Pronto;;;;;;
